gcc main.c && sudo ./a.out
indexCPU            FPGA           FPGA(hex)      
0         398810.093750  398810.093750  48C2BB43       
1         632312.625000  632312.625000  491A5F8A       
2         551900.625000  551900.625000  4906BDCA       
3         713657.937500  713657.875000  492E3B9E       
4         503939.875000  503939.875000  48F6107C       
5         472310.437500  472310.437500  48E69ECE       
6         682999.125000  682999.125000  4926BF72       
7         389661.468750  389661.500000  48BE43B0       
8         876747.562500  876747.562500  49560CB9       
9         459838.625000  459838.625000  48E087D4       
10        501484.312500  501484.281250  48F4DD89       
11        445346.093750  445346.093750  48D97443       
12        562507.312500  562507.312500  490954B5       
13        631400.437500  631400.500000  491A2688       
14        679538.000000  679538.000000  4925E720       
15        322660.281250  322660.281250  489D8C89       
16        303573.500000  303573.500000  48943AB0       
17        513243.937500  513243.906250  48FA9B7D       
18        339429.062500  339429.093750  48A5BCA3       
19        579219.625000  579219.625000  490D693A       
20        312017.000000  312016.968750  48985A1F       
21        655203.937500  655203.937500  491FF63F       
22        493249.937500  493249.875000  48F0D83C       
23        451724.968750  451724.968750  48DC919F       
24        580601.312500  580601.312500  490DBF95       
25        414678.968750  414678.968750  48CA7ADF       
26        621050.000000  621050.000000  49179FA0       
27        313650.656250  313650.656250  48992655       
28        538855.812500  538855.750000  49038E7C       
29        462247.031250  462247.031250  48E1B4E1       
30        430011.250000  430011.281250  48D1F769       
31        660970.750000  660970.812500  49215EAD       
32        555301.625000  555301.562500  49079259       
33        450130.625000  450130.656250  48DBCA55       
34        399629.312500  399629.312500  48C321AA       
35        493430.000000  493430.031250  48F0EEC1       
36        536858.812500  536858.750000  490311AC       
37        292911.750000  292911.750000  488F05F8       
38        438946.812500  438946.781250  48D65459       
39        621692.437500  621692.500000  4917C7C8       
40        510685.781250  510685.781250  48F95BB9       
41        807376.000000  807375.875000  49451CFE       
42        493181.906250  493181.906250  48F0CFBD       
43        670329.187500  670329.187500  4923A793       
44        769784.625000  769784.625000  493BEF8A       
45        493144.750000  493144.781250  48F0CB19       
46        666481.500000  666481.500000  4922B718       
47        622860.375000  622860.312500  491810C5       
48        696538.062500  696538.062500  492A0DA1       
49        497055.531250  497055.531250  48F2B3F1       
50        317800.375000  317800.406250  489B2D0D       
51        484867.250000  484867.250000  48ECC068       
52        806294.062500  806294.125000  4944D962       
53        490532.500000  490532.500000  48EF8490       
54        557306.812500  557306.812500  49080FAD       
55        400066.656250  400066.656250  48C35855       
56        557846.812500  557846.812500  4908316D       
57        566499.937500  566500.000000  490A4E40       
58        574905.250000  574905.312500  490C5B95       
59        601077.500000  601077.562500  4912BF59       
60        332729.406250  332729.406250  48A2772D       
61        632366.437500  632366.437500  491A62E7       
62        509435.281250  509435.312500  48F8BF6A       
63        934555.000000  934555.062500  496429B1       
